Corner,butter6_lowQ_1,butter6_lowQ_2,butter6_lowQ_3
Enable,t,t,t
cVal1,1.077748450492989,0.8369632744199049,0.5655090241590237
c_1p,0.0,0.0,0.0
cVal2,0.9400443705747212,0.8084762485343143,0.6711934810928762
cVal3,1.0,1.0,1.0
cVal4,2.6270264506367416,1.4224712419039278,0.3588522318368941
cVal5,0.9400443705747212,0.8084762485343143,0.6711934810928762
cVal6,0.2532828409453908,0.16916623206600015,0.09489149262868264
cVal7,1.0,1.0,1.0
